OGS	sub_rate	Avg_record	align_len	No_seq	recovery	meanGC
EOG7DK494	0.251273344652	353.695652174	589	46	high	39.2659452466097
EOG7DK4B5	0.243421052632	295.301886792	608	53	high	35.9497484266652
EOG7DRVRT	0.272845953003	520.816326531	766	49	high	40.8158842201814
EOG7DRVSB	0.26597582038	317.933333333	579	45	high	40.5683635250922
EOG7DRVSD	0.252604166667	490.744680851	768	47	high	37.8772236510558
EOG7DRVT0	0.258426966292	219.470588235	445	51	high	49.4232110570854
EOG7DVR0W	0.297008547009	351.54	468	50	high	48.2372272128884
EOG7DVR0X	0.363636363636	501.830188679	759	53	high	42.929319242354
EOG7DZM7Q	0.20625	541.784313725	800	51	high	43.7334754782819
EOG7F2GGG	0.284153005464	481.105263158	732	38	medium	43.7563883468615
EOG7F2GGK	0.284450063211	381.577777778	791	45	high	38.4863493568687
EOG7F5BRC	0.280898876404	356.693877551	534	49	high	46.4027018673475
EOG7F5BRF	0.270758122744	260.480769231	554	52	high	39.3935318192857
EOG7F86ZG	0.304545454545	437.962264151	660	53	high	40.9220773127716
EOG7FC36S	0.202808112324	430.775	641	40	medium	39.1131722380517
EOG7FC372	0.264653641208	351.3	563	50	high	41.8458620884996
EOG7FFZGV	0.253687315634	171.096774194	339	31	medium	41.2674197286277
EOG7FNPWZ	0.234015345269	556.981132075	782	53	high	38.4009153017368
EOG7FNPXM	0.291111111111	253.142857143	450	49	high	44.1782543514127
EOG7FVFCZ	0.310492505353	226.34375	467	32	medium	47.0149073588687
EOG7FVFD6	0.366319444444	340.704545455	576	44	high	44.9481151060286
EOG7G25VV	0.226537216828	349	618	42	high	37.7555130266322
EOG7G25WG	0.323450134771	436.369565217	742	46	high	35.3558797216449
EOG7G25X0	0.332896461337	500.26	763	50	high	39.7823271556075
EOG7G25X1	0.422222222222	370.452830189	945	53	high	41.1984319852149
EOG7G5253	0.269411764706	610.974358974	850	39	medium	38.7247229557113
